Name,Prices,Ratings
acer SmartChoice ALG,62900,4.0
Lenovo ThinkBook 16,55990,3.7
acer Nitro V 15,78990,3.8
HP Smartchoice Victus,109990,4.0
MSI Katana 15,110346,4.4
acer SmartChoice ALG,62900,4.0
MSI Thin A15,58450,4.0
ASUS TUF A15 (2025),71990,4.2
ASUS ROG Strix G16,154990,4.2
HP Victus,119490,4.2
Lenovo LOQ,67526,3.4
Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Laptop,41990,4.0
MSI Thin 15,60990,4.1
ASUS TUF Gaming A15,66990,3.8
HP Victus,62990,4.3
ASUS TUF Gaming A15,71990,4.3
ASUS TUF A16 (2025),102990,4.1
Lenovo LOQ,118326,4.2
HP Smartchoice Victus,74990,3.9
acer Predator Helios Neo16S AI,184000,3.8
Lenovo LOQ 2024,91900,4.1
Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram,30999,4.0
